ANO_ELEICAO,UF,NEPP,magnitude
1994,AC,4.298507462686567,24
1994,AL,6.6880733944954125,27
1994,AM,6.127659574468084,24
1994,AP,5.666666666666666,17
1994,BA,6.474714518760196,63
1994,CE,4.3539094650205765,46
1994,DF,5.142857142857142,24
1994,ES,8.49056603773585,30
1994,GO,7.03347280334728,41
1994,MA,7.805309734513275,42
1994,MG,8.809806835066865,77
1994,MS,6.857142857142857,24
1994,MT,6.545454545454546,24
1994,PA,5.737201365187713,41
1994,PB,2.905829596412556,36
1994,PE,4.008347245409015,49
1994,PI,3.409090909090909,30
1994,PR,6.688073394495414,54
1994,RJ,9.423076923076922,70
1994,RN,3.3488372093023258,24
1994,RO,8.727272727272728,24
1994,RR,5.452830188679245,17
1994,RS,6.062124248496994,55
1994,SC,4.347826086956522,40
1994,SE,5.999999999999999,24
1994,SP,6.913928012519561,94
1994,TO,3.0638297872340425,24
1998,AC,6.857142857142857,24
1998,AL,6.942857142857144,27
1998,AM,7.199999999999999,24
1998,AP,8.22857142857143,24
1998,BA,5.6458036984352775,63
1998,CE,4.0536398467432955,46
1998,DF,8,24
1998,ES,7.758620689655173,30
1998,GO,4.872463768115942,41
1998,MA,9,42
1998,MG,9.964705882352941,77
1998,MS,5.759999999999999,24
1998,MT,6.260869565217391,24
1998,PA,8.280788177339902,41
1998,PB,3.323076923076923,36
1998,PE,6.471698113207547,49
1998,PI,4.245283018867925,30
1998,PR,6.5675675675675675,54
1998,RJ,8.05921052631579,70
1998,RN,5.236363636363636,24
1998,RO,8.22857142857143,24
1998,RR,5.999999999999999,24
1998,RS,5.783938814531549,55
1998,SC,5,40
1998,SE,8.22857142857143,24
1998,SP,8.257943925233645,94
1998,TO,3.3103448275862064,24
2002,AC,9.6,24
2002,AL,7.838709677419357,27
2002,AM,7.783783783783782,24
2002,AP,9.290322580645162,24
2002,BA,8.01818181818182,63
2002,CE,5.539267015706807,46
2002,DF,7.578947368421052,24
2002,ES,10.714285714285714,30
2002,GO,6.112727272727272,41
2002,MA,6.082758620689656,42
2002,MG,9.4864,77
2002,MS,9.600000000000001,24
2002,MT,6.69767441860465,24
2002,PA,8.36318407960199,41
2002,PB,5.684210526315789,36
2002,PE,10.671111111111111,49
2002,PI,5.48780487804878,30
2002,PR,9.467532467532468,54
2002,RJ,10,70
2002,RN,5.333333333333333,24
2002,RO,9.290322580645162,24
2002,RR,12.521739130434783,24
2002,RS,6.59041394335512,55
2002,SC,5.194805194805195,40
2002,SE,9.6,24
2002,SP,7.974729241877258,94
2002,TO,5.538461538461537,24
2006,AC,7.024390243902438,24
2006,AL,4.313609467455621,27
2006,AM,12,24
2006,AP,11.52,24
2006,BA,8.083503054989817,63
2006,CE,5.718918918918919,46
2006,DF,8.01818181818182,21
2006,ES,10.714285714285714,30
2006,GO,6.4903474903474905,41
2006,MA,8.320754716981133,42
2006,MG,9.735632183908047,77
2006,MS,6.260869565217391,24
2006,MT,6.260869565217391,24
2006,PA,7.892018779342724,41
2006,PB,5.3999999999999995,36
2006,PE,9.962655601659753,49
2006,PI,6.716417910447761,30
2006,PR,6.394736842105263,54
2006,RJ,10,70
2006,RN,7.384615384615385,24
2006,RO,9.931034482758621,24
2006,RR,10.285714285714285,24
2006,RS,7.736572890025575,55
2006,SC,5.88235294117647,40
2006,SE,7.199999999999999,24
2006,SP,6.924764890282133,94
2006,TO,7.384615384615385,24
